etiqueta,media_s,std_s,min_s,max_s,n_repeticiones,workers,particiones,speedup,eficiencia
"ETL Dask (1 workers, 23 particiones)",3.8074,0.0738,3.7399,3.8862,3,1,23,1.0,1.0
"ETL Dask (2 workers, 23 particiones)",2.4626,0.0328,2.4435,2.5004,3,2,23,1.546,0.773
"ETL Dask (4 workers, 23 particiones)",2.7862,0.038,2.744,2.8176,3,4,23,1.367,0.342
"ETL Dask (8 workers, 23 particiones)",2.8256,0.0212,2.8018,2.8429,3,8,23,1.347,0.168
