etiqueta,media_s,std_s,min_s,max_s,n_repeticiones,workers,speedup,eficiencia
ALS (1 hilos BLAS),106.9117,0.3375,106.673,107.1503,2,1,1.0,1.0
ALS (2 hilos BLAS),99.1299,0.2991,98.9184,99.3414,2,2,1.079,0.54
ALS (4 hilos BLAS),98.2359,0.5112,97.8744,98.5974,2,4,1.088,0.272
ALS (8 hilos BLAS),97.9338,1.5626,96.8289,99.0387,2,8,1.092,0.136
