herramienta,carga_s,limpieza_s,transformacion_s,total_s,speedup,recursos_usados,eficiencia
Pandas,1.7788356493333215,1.5621362529999867,0.46120197400000507,3.8021738763333133,1.0,1,1.0
Polars,0.4410640923333631,0.8131946703333218,0.1691574673333207,1.4234162300000057,2.67,2,1.335
Dask,1.5884170203333194,2.5139707106667024,0.6431653133333081,4.74555304433333,0.8,4,0.2
cuDF (GPU),0.0746482093333422,0.02774380366671873,0.046447204666643906,0.14883921766670483,25.55,1,25.55
