n_concurrentes,n_solicitudes,tiempo_total_s,throughput_req_por_s,latencia_media_ms,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,latencia_max_ms,n_errores,tasa_error
1,1,0.47315730003174394,2.1134620557115156,470.8317000186071,470.8317000186071,470.8317000186071,470.8317000186071,470.8317000186071,0,0.0
10,10,0.3410336000379175,29.322623925877565,221.49769999086857,225.5523999920115,318.2039450330194,319.0643090463709,319.2794000497088,0,0.0
50,50,1.7823929000878707,28.052176373421954,940.7619040110148,983.5274500073865,1633.7949249893427,1665.461637058761,1669.5917000761256,0,0.0
100,100,3.6420259000733495,27.45724570437185,1863.0418199987616,1896.589000010863,3334.2117499618325,3414.3250799179077,3421.728300047107,0,0.0
200,200,8.08352250000462,24.74168903468577,3808.6207074980484,3808.266099949833,7329.493794991868,7586.367215986829,7679.666299954988,0,0.0
